key,Rare disease,link,description
post-1798,"47, XXX (Trisomy X)",https://rarediseases.org/rare-diseases/trisomy-x/,"47, XXX47, XXX karyotype47, XXX syndrometriple X syndrometriple XXXX syndrome"
post-1335,"47, XXY (Klinefelter Syndrome)",https://rarediseases.org/rare-diseases/47-xxy-klinefelter-syndrome/,"KS47,XXY male"
post-2038,"48, XXYY Syndrome",https://rarediseases.org/rare-diseases/48-xxyy-syndrome/,"XXYY syndrome48, XXYY variant of Klinefelter syndrome48, XXYY Klinefelter syndrome"
post-259897,"5,10 – Methenyltetrahydrofolate Synthetase Deficiency",https://rarediseases.org/rare-diseases/510-methenyltetrahydrofolate-synthetase-deficiency/,"neurodevelopmental disorder with microcephaly, epilepsy and hypomyelinationNEDMEHMMTHFS-related developmental delay-microcephaly-short stature-epilepsy syndrome"
post-702,Aarskog Syndrome,https://rarediseases.org/rare-diseases/aarskog-syndrome/,Aarskog diseaseAarskog-Scott syndromeAASfaciodigitogenital syndromefaciogenital dysplasiaFGDYScott Aarskog syndrome
post-703,Abetalipoproteinemia,https://rarediseases.org/rare-diseases/abetalipoproteinemia/,ABLBassen-Kornzweig syndromelow density lipoprotein deficiencymicrosomal triglyceride transfer protein deficiencyMTP deficiencyfamilial hypobetalipoproteinemia due to secretion defect 1 (FHBL-SD1)
post-704,Ablepharon-Macrostomia Syndrome,https://rarediseases.org/rare-diseases/ablepharon-macrostomia-syndrome/,AMS
post-705,Acanthocheilonemiasis,https://rarediseases.org/rare-diseases/acanthocheilonemiasis/,Acanthocheilonemiasis perstansDipetalonema perstansDipetalonemiasisMansonella perstans
post-707,Aceruloplasminemia,https://rarediseases.org/rare-diseases/aceruloplasminemia/,familial apoceruloplasmin deficiencyhereditary ceruloplasmin deficiency
post-708,Achalasia,https://rarediseases.org/rare-diseases/achalasia/,cardiospasmdyssynergia esophagusesophageal aperistalsismegaesophagus
post-709,Achard Thiers Syndrome,https://rarediseases.org/rare-diseases/achard-thiers-syndrome/,Diabetic Bearded Woman Syndrome
post-710,Achondrogenesis,https://rarediseases.org/rare-diseases/achondrogenesis/,N/A
post-711,Achondroplasia,https://rarediseases.org/rare-diseases/achondroplasia/,"ACHachondroplastic dwarfismdwarf, achondroplastic"
post-1894,Acid Sphingomyelinase Deficiency,https://rarediseases.org/rare-diseases/acid-sphingomyelinase-deficiency/,ASMDASM DeficiencyAcid Sphingomyelinase-deficient Niemann-Pick DiseaseASM-deficient Niemann-Pick Disease
post-715,Acoustic Neuroma,https://rarediseases.org/rare-diseases/acoustic-neuroma/,"acoustic neurilemomaacoustic neurinomafibroblastoma, perineuralneurinoma of the acoustic nerveneurofibroma of the acoustic nerveschwannoma of the acoustic nervevestibular schwannoma"
post-716,Acquired Aplastic Anemia,https://rarediseases.org/rare-diseases/acquired-aplastic-anemia/,idiopathic aplastic anemiaimmune aplastic anemia
post-717,Acquired Hemophilia,https://rarediseases.org/rare-diseases/acquired-hemophilia/,acquired hemophilia A (AHA)acquired hemophilia B (AHB)
post-718,Acquired Lipodystrophy,https://rarediseases.org/rare-diseases/acquired-lipodystrophy/,N/A
post-719,Acquired Neuromyotonia,https://rarediseases.org/rare-diseases/acquired-neuromyotonia/,Isaacs-Merten syndromeIsaacs' syndromecontinuous muscle fiber activity syndrome
post-720,"Acrocallosal Syndrome, Schinzel Type",https://rarediseases.org/rare-diseases/acrocallosal-syndrome-schinzel-type/,"Absence of Corpus Callosum, Schinzel TypeACLSACSHallux Duplication, Postaxial Polydactyly, and Absence of Corpus CallosumSchinzel Acrocallosal Syndrome"
post-721,Acrodermatitis Enteropathica,https://rarediseases.org/rare-diseases/acrodermatitis-enteropathica/,"AEBrandt syndromeDanbolt-Cross syndromezinc deficiency, congenital"
post-722,Acrodysostosis,https://rarediseases.org/rare-diseases/acrodysostosis/,acrodysostosis with or without hormone resistanceArkless-Graham syndromeMaroteaux-Malamut syndrome
post-723,Acromegaly,https://rarediseases.org/rare-diseases/acromegaly/,N/A
post-724,Acromesomelic Dysplasia,https://rarediseases.org/rare-diseases/acromesomelic-dysplasia/,acromesomelic dwarfism
post-725,Acromicric Dysplasia,https://rarediseases.org/rare-diseases/acromicric-dysplasia/,Acromicric Skeletal Dysplasia
post-726,ACTH Deficiency,https://rarediseases.org/rare-diseases/acth-deficiency/,"adrenocorticotropic hormone deficiency, isolated"
post-111933,Activated Phosphoinositide 3-Kinase Delta Syndrome (APDS),https://rarediseases.org/rare-diseases/activated-phosphoinositide-3-kinase-delta-syndrome-apds/,"p110-delta-activating mutation causing senescent T cells, lymphadenopathy, and immunodeficiency (PASLI)Immunodeficiency 14PI3K- delta syndrome"
post-927,Acute Cholecystitis,https://rarediseases.org/rare-diseases/cholecystitis/,acute acalculous cholecystitis (AAC)acute calculous cholecystitis
post-727,Acute Disseminated Encephalomyelitis,https://rarediseases.org/rare-diseases/acute-disseminated-encephalomyelitis/,ADEMADE
post-728,Acute Eosinophilic Pneumonia,https://rarediseases.org/rare-diseases/acute-eosinophilic-pneumonia/,AEPIAEPidiopathic acute eosinophilic pneumonia
post-729,Acute Intermittent Porphyria,https://rarediseases.org/rare-diseases/acute-intermittent-porphyria/,AIPSwedish Porphyria
post-1905,Acute Myeloid Leukemia,https://rarediseases.org/rare-diseases/acute-myeloid-leukemia/,acute granulocytic leukemiaacute myelogenous leukemiaacute myelogenous leukemiaacute nonlymphocytic leukemiaAML
post-2003,Acute Promyelocytic Leukemia,https://rarediseases.org/rare-diseases/acute-promyelocytic-leukemia/,APLAPML
post-730,Acute Respiratory Distress Syndrome,https://rarediseases.org/rare-diseases/acute-respiratory-distress-syndrome/,acute lung injuryadult respiratory distress syndromeARDSnoncardiogenic pulmonary edemaincreased-permeability pulmonary edema
post-731,Adams-Oliver Syndrome,https://rarediseases.org/rare-diseases/adams-oliver-syndrome/,"limb scalp and skull defectsAOScongenital scalp defects with distal limb anomaliescongenital scalp defects with distal limb reduction anomalieslimb, scalp, and skull defectsAdams Oliver syndrome"
